sentence,label
The High Court further modified a portion of the order in view of the decision of this Court in Bhag Singh v,Facts
Union Territory of Chandigarh,Facts
A.I.R.1985 S.C.1576 1985 Indlaw SC 246 on the question of solarium and interest on the amount awarded,Facts
The judgment also dealt with the question as to who were the successors of Nawaz Jung,Facts
We are also not concerned with this aspect of the matter inasmuch as the same is the subject matter of another appeal being Civil Appeal No.4406 of 1986,Ratio of the decision
We are concerned in this appeal with the right of Abdul Khader,Ratio of the decision
The High Court discussed 18 documents out of which two are challans and other depositions,Facts
Kowlnama executed in favour of Shaik Hussain was not filed,Facts
"The Kowlnama executed in favour of the son,Mohd",Facts
"Abdul Khader,on December 3,1950 was filed and was marked as Exhibit C-1.The document recited: ""permitted to utilise garden fruits,flowers and mango",Facts
"fruits"".The tenant was permitted to raise flower trees at his own expenses",Facts
The High Court took into consideration the judgment in Suit No.13(1) of 195 1-52 by the tenant,Facts
The High Court on consideration of these documents was of the view that these documents showed unequivocally that the tenancy was in favour of Shaik Hussain from 1935.After his death Mohd,Facts
Abdul Khader was recognised as the tenant,Facts
"The land was taken possession of under a panchanama dated 12th of September,1963.According to the High Court the documents discussed in the judgment indicated that Shaik Hussain was a tenant from 1935.After his death on July 18,1949,his son Mohd",Facts
Abdul Khader became a tenant,Facts
In this background the Court addressed itself to the question whether Abdul Khader was a protected tenant or not entitled to 60% of the compensation,Facts
No document was filed to show that Abdul Khader was declared by the revenue courts as a protected tenant,Ratio of the decision
The High Court was of the view that there was surfeit of evidence prior to the commencement of the Andhra Pradesh Act that Shaik Hussain was a tenant of the land,Facts
"The question was whether on enforcement of the said Act Abdul Khader,respondent herein,was a protected tenant",Facts
The High Court thereafter discussed the facts mentioned hereinbefore about the order of the District Revenue Officer and the orders of this Court referred to hereinbefore,Facts
"The High Court noticed the position that under the said Andhra Pradesh Act it was for the revenue authorities to order whether a tenant is a protected tenant under section 34,s.37 'and section 37A of the said Act",Facts
"Section 37A was enacted on 12th of March,1956.The High Court was,however,of the view that it cannot be said that it was for the revenue authorities alone to decide the issue because the arbitrator was ordered to decide the issue by the High Court on 19th August,1974 and by this Court on 30th of January,1975.The High Court also referred to the directions of this Court dated 19th August,1985 mentioned hereinbefore",Facts
The High Court was of the view that the arbitrator was to decide that question and the arbitrator was not in error in deciding the issue in the manner it did,Facts
The Court reiterated that there was surfeit of evidence to declare that Abdul Khader was a tenant,Facts
"If he was a tenant,the High Court observed.he was a protected tenant under s.34 read with s.37 or under section 37-A of the Andhra Pradesh Act",Facts
"The High Court on reciting the facts came to the conclusions,inter alia",Ruling by Lower Court
"a) that Abdul Khader because he was a tenant between January,1942 to January,1948 for six years,therefore,was a protected tenant under sub-cl.(ii) of cl.(1) of s.34 of the Andhra Pradesh Act; (b) that Abdul Khader held the land from October,1943 to October,1949,therefore,was a protected tenant of Sail Gulshan under sub-cl.(iii) of cl.(1) of s.34 of Act 21 of 1950.In these circumstances,the High Court held that Adbul Khader was entitled to 60% of the compensation paid",Ruling by Lower Court
"Aggrieved by the aforesaid decision,the appellants being the successor of the owner of the land in question is in appeal before us",Ratio of the decision
"Shri Shanker Ghosh,learned counsel for the appellant,urged that under the said Andhra Pradesh Act it was mandatory under s.99 read with s.102 of the said Act in conjunction with the definition of s.2(r) of the Act for the revenue authorities to decide whether Abdul Khader was a protected tenant or not",Argument
"There being no such finding by the revenue officer,on the other hand there being a finding mat Abdul Khader was not a protected tenant by the revenue authorities it was not open to the arbitrator to decide the question of protected tenancy",Ratio of the decision
"The arbitrator therefore,exceeded his jurisdiction and the High Court was in error",Ratio of the decision
"Shri A.K.Sen,on behalf of the respondents on the other hand contended that the compensation payable in respect of the requisitioning and acquisition must be determined under the Central Act and the arbitrator was the authority to decide that question",Argument
The question of Abdul Khader's right to compensation had to be decided in accordance with law,Argument
He had claimed rights of a protected tenant,Argument
"He had sought to establish his rights which must be found within the four corners of the Andhra Pradesh Act along with other documents because u/s.40(4) of the Andhra Pradesh Act the interest of a protected tenant in the land held by him as a protected tenant formed 60%.The rights of the protected tenants have been defined in the Andhra Pradesh Act and relevant provisions of that Act namely,sections 34,37,37A and 40 in conjunction with the definition under s.2(r) have to be taken into consideration in the background of the facts and circumstances of the case",Argument
"The two orders of this Court as we have mentioned hereinbefore dated 30th of January,1975 and 19th of August.1985 reiterated the position that it was for the arbitrator to decide the question and he should decide the question in the light of ss.99 and 102 of the Andhra Pradesh Act as set out hereinbefore",Argument
On behalf of the appellant it was submitted that there was a complete bar for any civil court to go into the question whether Abdul Khader was a protected tenant and as such the arbitrator and the High Court had no jurisdiction to decide this question,Argument
"For this reliance was placed on S.102 of the Andhra Pradesh Act which lays down that the Act will not apply to lands leased,granted,alienated or acquired in favour of or by the Central Government or the State Government etc.and on -S.99 of the Act which bars the jurisdiction of civil courts to deal with any question which is under the Andhra Pradesh Act required to be settled,to be decided or dealt with by the Tahsildar,Tribunal or Collector",Argument
"According to the appellant inasmuch as whether Abdul Khader was a protected tenant had not to be settled by the Collector or the Tribunal,the arbitrator and the High Court were in error in going to that question",Argument
We are unable to accept this submission,Ratio of the decision
By the scheme of the Central Act compensation was payable to persons who had interest in the land acquired,Ratio of the decision
Who are the persons who have interest in the land had to be decided in accordance with the law and the evidence,Ratio of the decision
Determination by the revenue authorities and non-determination is not conclusive or decisive,Ratio of the decision
It is clear that s.102 of the Andhra Pradesh Act mentions that after acquisition the Act was not to apply in respect of certain land,Ratio of the decision
"Therefore,it was submitted by the respondents that s.99 of the Andhra Pradesh Act.which made the determination by the Tahsildar to be final and debarred other courts from going into the question did not apply in case of compensation payable",Ratio of the decision
In the background of the totality of circumstances as manifest in the different orders it appeared to the arbitrator and the Court that the entry which was made in favour of Abdul Khader as the protected tenant was of doubtful validity,Ratio of the decision
We are of the opinion that the High Court was not in error in so holding,Ratio of the decision
It was the observation of the revenue authorities that it was spurious,Ratio of the decision
That in any event what was the interest of Abdul Khader had to be determined in determining the question of payment of compensation to him and in so determining the facts and circumstances and the proceedings before the revenue authorities and entries and subsequent deletions had to be taken into consideration by the arbitrator,Ratio of the decision
The arbitrator has done so,Ratio of the decision
He had jurisdiction to do so,Ratio of the decision
The High Court has so held,Ratio of the decision
This Court by the two orders referred to hereinbefore had also affirmed this position,Ratio of the decision
In that view of the matter we are unable to accept the challenge to the award,Ratio of the decision
"Furthermore,under s.99 of the Andhra Pradesh Act the bar was not against the arbitrator but against a civil court",Ratio of the decision
"In determining the amount of compensation payable to Abdul Khader under the Central Act,his interests in the property had to be determined",Ratio of the decision
"In another context,the High Court of Andhra Pradesh enunciated the position that it was necessary to determine the interest of the persons claiming compensation",Ratio of the decision
Reference may be made to the decision in the case of Archi Appalareddi and another v,Precedent
"Special Tahsildar,land Acquisition,Visakhapatnam Municipality and mother,[1979] Andhra Weekly Reporter,Vol.1 p.101,where the Court observed in the context of the Land Acquisition Act that a tenant was a 'person interested' as defined in clause (b) of s.3 of the Land Acquisition Act",Precedent
He has a right to object to the acquisition and/or the quantum of compensation,Precedent
"The Land Acquisition Officer or the Court,as the case may be,had to ascertain the value of a claimant's right in the property acquired and compensate him in that behalf",Ratio of the decision
"We may mention that in the two orders of this Court dated 30th of January,1975 and 19th of August,1985 referred to herein before,this Court had left it open to the High Court and to the arbitrator to decide whether he is a protected tenant or not.the arbitrator has decided that question and the High Court found over whelming evidence in support of it",Ratio of the decision
In that view of the matter we must uphold that decision however unsatisfactory,Ratio of the decision
it might appear that a fruit pucker gets 60% of the compensation while the owners get only If that is the law,Ratio of the decision
let it be,Ratio of the decision
In the aforesaid view of the matter this appeal must fail and is accordingly dismissed with costs,Ruling by Present Court
Appeal dismissed,Ruling by Present Court
"Whether the appellant herein and his father had sublet the premises in question in or about 1960 in terms of section 13(1)(e) of the Bombay Rents,Hotel and Lodging House Rates Control Act,1947",Ratio of the decision
"hereinafter called the 'Rent Act') is' the question involved in this appeal by special leave from the judgment and order of the High Court of Gujarat dated 21st of August,1979",Ratio of the decision
"In order to decide this question,it is necessary to decide the scope and ambit of section 29(2) of the Rent Act",Ratio of the decision
"To decide this,facts must be referred to",Ratio of the decision
"The appellant claimed to be the tenant in respect of the two premises which are quite adjacent to each other,one of which is involved in this appeal",Facts
"The respondent is the landlord of the two premises and these were situated at Raikhad Ward,Ahmedabad",Facts
"The respondent had alleged in the two suits that the appellant was his tenant in the suit premises which were leased out to him and before him his father,for conducting the business in the name of Ahmedabad Fine",Facts
Weaving Works and according to the terms of tenancy suit premises were leased for manufacturing cloth in the name of Ahmedabad Fine,Facts
Weaving Works,Facts
The respondent had further alleged that the appellant No.1 had closed the business and he was not using the said premises for the purpose for which it was let to him,Facts
It was the case of the appellant that in respect of the suit premises he was carrying on his business with respondents,Facts
"Nos.2,4 and 5 in the name of respondent No.2,M/s",Facts
Bharat Neon Signs (hereinafter referred to as respondent No.2,Facts
We are concerned in this appeal with only one of the premises which was involved in Suit No.553 of 1969.It is not in dispute and it never was that the premises was being used by Bharat Neon Signs firm being the defendant No.2 in the original suit,Ratio of the decision
At the time of the institution of the suit the defendants Nos.2 to 5 were admittedly the partners,Facts
The present appellant who was the original defendant No.1 claimed to be a partner,Facts
"The main controversy was whether the appellant had sublet the premises to defendant No.2,Bharat Neon Signs or whether he being a partner of the said firm had permitted the said firm to use the premises in question",Facts
"It is clear from the evidence on record that the partnership firm had undergone metamorphosis from time to time and again ever since the year 1960.The firm Bharat Neon Signs first originated on 4th of October,1960.As many as six persons were named in the partnership firm,on or about 4th of October,1960 and they had executed a deed of partnership on 13th of October,1960 which is Exhibit-114 on the record",Facts
The said partnership deed records six persons who were to run the business in manufacturing and selling Bharat Neon Signs tubes,Facts
"However,the document is silent as to where the business was started",Ratio of the decision
"On or about 24th of October,1960",Facts
another partnership deed being Exhibit-69 came to be executed among the six persons and the father of the appellant Girdharlal,Facts
The document is Exhibit-69 and is signed by the father of the appellant and the appellant himself also,Facts
It may be mentioned that the partnership deed Exhibit-114 was executed by six persons and at that stage the appellant or his father were not partners in the firm,Ratio of the decision
But thereafter when the partnership deed Exhibit-69 was executed the appellant and his father joined the firm with an agreement to share profits only and their share was fixed at 0.03 paise in a rupee,Ratio of the decision
"There is a third partnership deed Exhibit-70 which showed that the deceased tenant Girdharlal had died on 1st of February,1961 and so by the remaining seven partners with same terms and conditions,a new partnership deed being Exhibit-70 was executed on 22nd",Ratio of the decision
"September,1961.At this time the share of the appellant was fixed at 0.03 paise in a rupee to share the profits only",Ratio of the decision
In 1965 some partners retired and the remaining four partners executed a fresh partnership deed Exhibit-117 on 1st,Facts
"April,1965.This last partnership deed was executed by the appellant and original defendants",Facts
"Nos.3,4 and 5",Facts
The main question in issue in this appeal as well as before the High Court in revision was whether there was a genuine partnership at the appellant was a partner,Ratio of the decision
"It is true that since after 4th of October,1960 the partnership firm was carrying on business in the premises in question",Ratio of the decision
It is well settled that if there was such a partnership firm of which the appellant was a partner as a tenant the same would not amount to subletting leading to the forfeiture of the tenancy,Ratio of the decision
For this proposition see the decision of the Gujarat High Court in the case of Mehta Jagjivan Vanechand v,Ratio of the decision
Doshi Vanechand Harakhchand and others,Ratio of the decision
"A.I.R.1972 Gujarat 6 1970 Indlaw GUJ 68.Thakkar,J.of the Gujarat High Court,as the learned Judge then was,held that the mere fact that a tenant entered into a partnership and allowed the premises being used for the benefit of partnership does not constitute assignment or subletting in favour of the partnership firm entitling a landlord to recover possession",Ratio of the decision
This view is now concluded by the decision of this Court in Madras Bangalore Transport Co.(West) v,Ratio of the decision
"Inder Singh and others,[1986] 3 S.C.C.62 1986",Ratio of the decision
Indlaw SC 748,Ratio of the decision
The trial court in the instant appeal held that there was subletting,Ruling by Lower Court
It accordingly decreed the suit for possession instituted by the landlord,Ruling by Lower Court
"The suit,inter alia,was filed by the landlord on the ground of subletting",Facts
"There was an appeal before the Court of Small Causes,Bombay and by judgment and order delivered by the Court of Small Causes,Bombay on 18th of August,1977,it was held that the learned Trial Judge had erred in passing a decree for possession on the ground of subletting,change of user and breach of terms of tenancy",Ruling by Lower Court
"In the premises,the appeal was allowed",Ruling by Lower Court
It may be mentioned that the respondent No.1 is the landlord of two premises which were quite adjacent as mentioned before,Ratio of the decision
The respondent-plaintiff had alleged in both the suits that the appellant was his tenant in the suit premises which were leased to him for conducting his business in the name of Ahmedabad Fine,Facts
"Weaving Works,and according to the terms of tenancy suit,the suit premises were leased for manufacturing cloth in the name of Ahmedabad Fine & Weaving Works",Facts
The landlord had alleged that the appellant had closed that business and he was not using the premises in question for the purpose for which it was let to him,Facts
It was further alleged by the landlord that the appellant had unlawfully sublet the major part of the premises in question of both the suits to defendant Nos.2 to 5 in the original suit and these defendants were running business in partnership for manufacturing of neon signs in the name of Bharat Neon Signs,Facts
It was further alleged that the appellant had also unlawfully sublet one room of the suit premises to defendant No.6 in Suit No.553 of 1969 who was residing in that room,Facts
"For the purpose of the Suit No.553 of 1969 with which the appeal is concerned,it is relevant to state that the appellant had raised the contention that Ahmedabad Fine & Weaving Works was not the tenant of the suit premies but the suit premises was tenanted by the father of the appellant Girdharlal Chimalal in 1938 and he was the original tenant of the premises and appellant subsequently joined the business of his father as a partner and the name of the partnership firm was Ahmedabad Fine Weaving Works",Ratio of the decision
He has stated further that the suit premises were to be used for business and he could use it for any business and he joined in partnership with Defendants Nos.2 to 5 somewhere in 1961 to prepare neon signs and the defendants Nos.2 to 5 were his partners and doing business in the suit premises,Argument
He contended further that the suit premises was with him and the defendants Nos.2 to 5 had not acquired any tenancy rights in the suit premises,Argument
It is further stated that he had filed a civil suit to dissolve the partnership and to take account and his suit was pending in City Civil Court,Argument
It may be mentioned that by the time the revision petition came to be decided by the High Court the suit had been decreed in his favour directing a dissolution of the said partnership and directing taking of the accounts,Ratio of the decision
"There was an appeal filed from that decree and that appeal was also dismissed and disposed of affirming the decree for the dissolution of the partnership,inter se between the parties being the partners of the said firm",Facts
These facts were accepted that there was a partnership,Facts
"As mentioned hereinbefore the learned trial Judge consolidated both the suits and in the instant suit being No.553 of 1969 with which this appeal is concerned,it was held by the learned trial Judge that there was unlawful subletting",Ruling by Lower Court
There was a decree for possession,Ruling by Lower Court
This was set aside in appeal,Ratio of the decision
The Appellate Court so far as the material for the present appeal is concerned held that there was no subletting and there was only carrying on of the business in partnership with defendants Nos.2 to 5 in the name of Bharat Neon Signs,Ratio of the decision
"Therefore,the first question that had to be decided by the Appellate Court being the Court of Small Causes,Bombay and if a revision lay before the High court was whether there was any genuine partnership",Ratio of the decision
"The partnership deeds were there,the appellant was not to share in the losses",Ratio of the decision
The Court of Small Causes came to the conclusion on an analysis of the evidence before it and the terms of the three partnership deeds referred to hereinbefore that there was a genuine partnership in law which was acted upon,Ratio of the decision
The High Court in revision reversed that finding,Ratio of the decision
"The first question therefore,is,whether the High Court could do so in the facts of this case and secondly whether the High Court was right in so doing",Ratio of the decision
"Whether there was a partnership or not may in certain cases be a mixed question of law and fact,in the sense that whether the ingredients of partnership as embodied in the law of partnership were there in.a particular case or not must be judged in the light of the principles applicable to partnership",Ratio of the decision
"The first question,therefore,is what is a partnership",Ratio of the decision
"That has to be found in section 4 of the Indian Partnership Act,1932,it says ""Partnership is the relation between persons who have agreed to share the profits of a business carried on by all or any of them acting for all"" (Emphasis supplied",Ratio of the decision
"Section 6 of the said Act reiterates that in determining whether a group of persons is or is not a firm,or whether a person is or is not a partner in a firm,regard shall be had to the real relation between the parties,as shown by all relevant facts taken together",Ratio of the decision
"The following important elements must be there in order to establish partnership,(1) there must be an agreement entered into by all parties concerned,(2",Ratio of the decision
the agreement must be to share profits of business; and (3) the business must be carried on by all or any of the persons concerned acting for all,Ratio of the decision
The partnership deeds were there entitling the petitioner to share in the partnership,Ratio of the decision
"It is true that in the partnership deeds the bank accounts were not to be operated by the appellant,and further that irrespective of the profit",Ratio of the decision
the clause of the partnership deed provided that there should be a fixed percentage of profit to be given to the partner-appellant No.1.The appellant was not to share the losses,Ratio of the decision
But there is nothing illegal about it,Ratio of the decision
The appellant was to bring his asset being the tenancy of the premises in question for the user of the partnership,Ratio of the decision
"All these tests were borne in mind by the Court of Small Causes,Bombay in the appeal from the decision of the learned trial Judge",Ratio of the decision
The Appellate Court had considered the partnership deeds,Ratio of the decision
One point was emphasised by Mr,Ratio of the decision
"Mehta,learned counsel appearing for the respondents,that the original first partnership deed did not mention the appellant or his father as a partner",Ratio of the decision
It was in the second partnership deed that the appellant and his father joined the firm,Ratio of the decision
The firm started as emphasised by Mr,Ratio of the decision
"Mehta on 4th of October,1960 and it was only on the 24th of October,1960 the second partnership deed was -executed",Ratio of the decision
"Therefore,it was emphasised that there was a gap of time when there was user by the partnership firm of the premises in question when the appellant was not a member of the firm",Ratio of the decision
"It was emphasised that this aspect was not considered by the Court of Small Causes and the High Court,therefore,was justified in interfering with the findings of the Court of Small Causes",Ratio of the decision
We are unable to agree,Ratio of the decision
"These deeds were there,the partners were crossexamined,there was no specific evidence as to from what date the firm started functioning from the particular premises in question",Ratio of the decision
"Secondly,it was emphasised by Mr",Ratio of the decision
Mehta that the partnership deed was a camouflage,Ratio of the decision
It is evident from the sales-tax registration and other registration certificates and licences under the Shops and Establishments Act that the partnership was registered in the name of the appellant and the appellant was also indicated as a partner,Ratio of the decision
It was so in the Income Tax returns and assessments,Ratio of the decision
"Therefore,it was submitted that the Court of Small Causes committed an error of law resulting in miscarriage of justice",Ratio of the decision
It was submitted by Mr,Ratio of the decision
Mehta that once it was accepted that the partnership deed was a mere camouflage the other subsequent acts and conducts were merely ancillary and were put in a formal way,Ratio of the decision
But the question is from the three deeds itself which were examined in detail by the Court of Small Causes and which were re-examined by the High Court could it be said unequivocally that there was no partnership,Ratio of the decision
The deeds gave the appellant the right to share the profits and made him agent for certain limited purposes of the firm and there was evidence that the partnership deeds were acted upon,Ratio of the decision
There was evidence of suit of dissolution of the partnership where none of the partners took the plea that it was a false or a fictitious document,Ratio of the decision
"Though the decree in the dissolution suit was not binding in these proceedings,inter se between the parties as partners it is a piece of evidence which cannot be wholly ignored",Ratio of the decision
All these factors were present before the Court of Small Causes,Ratio of the decision
These were reappraised by the High Court,Ratio of the decision
Mehta,Ratio of the decision
"that in the partnership deed which is not necessary to recite the terms,the petitioner was completely excluded in operating the bank accounts etc",Ratio of the decision
There is nothing inherently illegal or improbable making a provision of such a type,Ratio of the decision
"In the eye of law,such a clause is really non-sequitur or neutral proving neither the existence nor non-existence of a genuine firm",Ratio of the decision
"The first partnership deed which is Exhibit-114 is dated 13th October,1960.It recited that the partnership firm should be presently started at Ahmedabad and the same should later be started in another city",Ratio of the decision
In this the appellant was not a partner.Exhibit-69 at page 136 of Volume-II of the paper-book is a partnership deed wherein Girdharlal the father of the Appellant No.1 and the appellant No.1 joined as partners,Ratio of the decision
"It recited that the partnership started from 4th of October,1960 at Ahmedabad",Ratio of the decision
"It was registered in the name of 7th and 8th partners,Girdharlal who was the appellant and his father",Ratio of the decision
"It was recited that the work of the partnership would be done by the parties of the fourth,fifth,sixth,seventh and eighth as per advice and instructions of the first,second and third",Ratio of the decision
All the work had been done by some of the partners of which appellants were not parties and that they had to do the said work as per instructions of the other partners,Ratio of the decision
"Clauses 6 and 7 of the said partnership deed recited inter alia as follows: ""6.The year of accounts of our partnership shall be Aso Vadi 30th day i.e",Ratio of the decision
"Diwali and the first account year is decided to be the Aso Vadi 30th day of Samvat Year 2017.While settling accounts at the close of the year,33% amount from the sum which may remain as net profit after deducting all expenditures,viz interest,discount,rent of the shop,rent of the godown,insurance,brokerage,travelling,telegrams,postage,salaries of employees,etc.shall be carried to Reserve Fund and thereafter,in the sum that remains as net profit,the shares of us the partners have been fixed as under: 7.While settling accounts at the close of the year,if the sum less than Rs.1500 falls to the 0-03 shares of the partners of the seventh and eighth parts,the amount falling short has to be debited towards the head of expenditure and Rs.1500 (fifteen hundred only) have to be paid in full to each of them two,and in those circumstances or if there be loss,the parties of the seventh or eighth parts have not been held liable therefore; and in the year or' losses,it has been decided to pay Rs.1500 (fifteen hundred only) to each of them,after debiting the same towards the head of expenditure and in the year of losses nothing has to be carried to the 'Reserve Fund' and the loss has to be borne by us to parties first to sixth parts in the following proportion: 8.Clause 8 empowered the operating of the bank accounts by partners other than the appellant and his father",Ratio of the decision
We find intrinsically nothing improbable,Ratio of the decision
It is embodied in the deeds the functioning of the partnership,Ratio of the decision
"The third partnership which is dated 22nd of September,1961 also indicates as parties of sixth part the name of the appellant",Ratio of the decision
"The relevant portion of the partnership deed reads as follows: ""To wit,the parties of the first to sixth parts out of us,deceased Khristi Girdharbhai Chimanlal and Shah Virchand Keshavji had jointly started the business of manufacturing and selling Neon Signs Tubes,in partnership in Ahmedabad from 4.10.1960,in the name and style of Bharat Neon Signs",Ratio of the decision
"However,on account of the death of Khristi Girdharbhai Chimanlal on 1.2.61 and other reasons,the said partnership was dissolved from 8.9.61.Thereafter,we the parties from the first to seventh part have,after purchasing at its cost price,all the debts and dues,goods,stock etc.,together with goodwill of the dissolved partnership,started manufacturing and selling of Neon Signs Tubes in partnership from 9.9.61.We,the parties of all the seven parts execute the deed of the said partnership to-day",Ratio of the decision
i.e.22.9.61.The terms and conditions,Ratio of the decision
thereof are as under,Ratio of the decision
"1) The entire work of our partnership has to be carried out in the name of ""Bharat Neon Signs",Ratio of the decision
2) The work to be carried out by our partnership is of manufacturing and selling Neon Signs Tubes and of obtaining orders therefore,Ratio of the decision
"3) Whatever moneys that may be required to be invested in our partnership,are to be invested by the parties of the first,second,third,fourth and seventh parts out of us and the interest at the rate of 71/2 per cent per annum has to be paid for the moneys that may be invested in this partnership",Ratio of the decision
We are of the opinion that these were evidence that these terms were acted upon,Ratio of the decision
There was nothing intrinsically wrong in law in constituting a partnership in the manner it was done,Ratio of the decision
It was contended by Mr,Argument
Mehta that there was no agency; reading the partnership deeds as we have read that conclusion does not emanate from position appearing debiting the fixed amount payable to the appellant in the expenses account which also is not inconsistent with partnership,Argument
This is also not inconsistent with treating the rent of the firm in the context of the total expenditure of the firm,Ratio of the decision
In any event all these factors were considered by the Court of Small Causes bearing in mind the correct legal principles,Facts
The High Court on a reappraisal of these very evidence came to the conclusion that the partnerships were camouflages and were not acted upon and in fact and in reality the partnership firm was a sub-tenant of the appellant herein,Facts
"The question is,can the High Court do so in law",Ratio of the decision
"The power of the High Court to revise the order is contained in section 29(2) of the Bombay Rent Act as applicable at the relevant time to Gujarat,The said provision reads as follows: ""29(2",Statute
"no further appeal shall lie against any decision in appeal under sub-section (1) but the High Court may,for the purpose of satisfying itself that any such decision in appeal was according to law,call for the case in which such decision was taken and pass such order with respect thereto as it thinks fit",Statute
The ambit and power of revision generally and in particular with respect to the provisions with which we are concerned have from time to time come up for consideration by this Court,Ratio of the decision
This Court in Hari Shankar v,Ratio of the decision
"Rao Girdhari Lal Chowdhury,[1962] 1 Suppl",Ratio of the decision
"SCR.933 1961 Indlaw SC 157 had to consider section 35(1) of the Delhi & Ajmer Rent Corntrol Act,1952",Ratio of the decision
"The said section reads as follows:- ""35(1",Statute
"The High Court may,at any time,call for the record of any case under this Act for the purpose of satisfying itself that a decision made therein is according to law and may pass such order in relation thereto as it thinks fit",Statute
"It was held in the majority judgment by HidayatuIIah,J.as the learned Chief Justice then was,that though section 35 of the Delhi and Ajmer Rent Control Act was worded in general terms but it did not create a right to have the case re-heard",Ratio of the decision
This Court emphasised that the distinction between an appeal and revision is a real one,Ratio of the decision
A right to appeal carries with it right of re-heating on law as well as fact,Ratio of the decision
unless the statute conferring the right to appeal limits the re-hearing in some way,Ratio of the decision
The power to hear a revision is generally given to a superior court so that it may satisfy itself that a particular case is decided according to law,Ratio of the decision
"The expression ""according to law"" in section 35 of the said Act referred to the decision as a whole,and was not to be equated to errors of law or of fact simpliciter",Ratio of the decision
This Court was of the view that what the High Court could see is that there has been no miscarriage of justice and that the decision was according to law in the sense mentioned,Ratio of the decision
"Kapur,J.who delivered a separate judgment,however,observed that the power under section 35(1) of the said Act of interference by the High Court is not restricted to a proper trial according to law or error in regard to onus of proof or proper opportunity of being heard",Ratio of the decision
"It is very much wider than that,when in the opinion of the High Court the decision is erroneous on the question of law which affects the merits of the case or decision was manifestly unjust the High Court is entitled to interfere",Ratio of the decision
"The revisional authority could ensure that there was no miscarriage of justice and the principles of law have been correctly borne in mind,the facts had been properly comprehended in that light",Ratio of the decision
If that was done in a particular case then the fact that the revisional authority or the High Court might have arrived to a different conclusion is irrelevant,Ratio of the decision
This view had also been expressed in the decision of this Court in Puranchand v,Ratio of the decision
"Motilal,[1963]",Ratio of the decision
Supp.2 S.C.R.906 1962 Indlaw SC 455,Ratio of the decision
This principle was reiterated in Krishnawati v,Precedent
"Hans Raj,[1974] 2 S.C.R.524 1973 Indlaw SC 208 which was dealing with section 39(2) of the Delhi Rent Control Act,1958 in second appeal",Precedent
"It was observed that under section 39(2) of the said Act,the High Court could interfere in second appeal only if there was a substantial question of law",Precedent
"In that case,the question whether the appellant was legally married no finding was necessary in the eviction suit",Precedent
"It was sufficient for the rent court to proceed on the finding that the appellant and S were living together as husband and wife,whether they were legally married or not",Precedent
It was further held that whether there was subletting was not a mixed question of law and fact,Precedent
In Phiroze Bamanji Desai v,Precedent
"Chandrakant M.Patel & Ors.,[1974] 3 SCR 267 1974 Indlaw SC 282 the question involved was whether there was reasonable and bona fide requirement of premises for personal use and occupation as also the question of greater hardship under the Bombay Rent Act and the ambit and scope of the power of Section 29(3) of the said Act with which we are concerned came up for consideration",Precedent
"Bhagwati,J.as",Precedent
"the learned Chief Justice then was,referred with approval the observations of Hidayatullah,J.referred to hereinbefore in Hari Shankar's case",Precedent
"1961 Indlaw SC 157 (supra).Bhagwati,J.observed that the ambit of section 35(1) of the Delhi & Ajmer Rent Control Act which fell for consideration in Hari Shanker's case 1961 Indlaw SC 157 (supra) was the same as section 29(3) of the  Bombay Rent Act and therefore,he expressed the opinion that the High Court could interfere only if there was miscarriage of justice due to mistake of law",Precedent
We must take note of a decision in the case of M/s Kasturbhai Ramchand Panchal & Brothers and Others v,Precedent
"Firm of Mohanlal Nathubhai and Others,AIR 1969 Gujarat 110 1967 Indlaw GUJ 57,upon which the High Court had placed great reliance in the judgment under appeal",Precedent
There the learned judge relying on section 29(2) of the said Act held that the revisional power with which the High Court was vested under section 29(2) was not merely in the nature of jurisdictional control,Precedent
It extended to corrections of all errors which would make the decision contrary to law,Precedent
"The legislature,the learned Judge,felt,further empowered High Court in its revisional jurisdiction to pass such order with respect thereto as it thought fit",Precedent
The power according to the learned Judge was of the widest amplitude to pass such orders as the Court thought fit in order to do complete justice,Precedent
He dealt with the human problem under section 13(2) of Bombay Rent Act considering the relative hardships of the landlord and the tenant and to arrive at a just solution he was of the opinion that the court should have such wide field,Precedent
"The jurisdiction of High Court is to correct all errors of law going to the root of the decision which would,in such cases,include even perverse findings of facts,perverse in the sense that no reasonable person,acting judicially and properly instructed in the relevant law could arrive at such a finding on the evidence on the record",Ratio of the decision
In this view in our opinion the ambit of the power was expressed in rather wide amplitude,Ratio of the decision
"As we read the power,the High Court must ensure that the principles of law have been correctly borne in mind",Ratio of the decision
"Secondly,the facts have been properly appreciated and a decision arrived at taking all material and relevant facts in mind",Ratio of the decision
It must be such a decision which no reasonable man could have arrived at,Ratio of the decision
"Lastly,such a decision does not lead to a miscarriage of justice",Ratio of the decision
"We must,however,guard ourselves against permitting in the guise of revision substitution of one view where two views are possible and the Court of Small Causes has taken a particular view",Ratio of the decision
"If a possible view has been taken,the High Court would be exceeding its jurisdiction to substitute its own view with that the courts below because it considers it to be a better view",Ratio of the decision
The fact that the High Court would have taken a different view is wholly irrelevant,Ratio of the decision
"Judged by that standard,we are of the opinion that the High Court in this case had exceeded its jurisdiction",Ratio of the decision
In the case of Punamchandra Revashankar Joshi v,Precedent
